id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
241386,SPXEGN1TGSB2IKT9 | 1733173793,SPXEGN1TGSB2IKT9,2024-12-03 06:09:53,210.99.114.165,27.14,1017.03,18.58,433.29,26198.92,-31.42
241434,SPXEGN1TGSB2IKT9 | 1733174372,SPXEGN1TGSB2IKT9,2024-12-03 06:19:32,210.99.114.165,27.16,1017.01,18.66,433.57,26235.30,-31.26
241483,SPXEGN1TGSB2IKT9 | 1733174961,SPXEGN1TGSB2IKT9,2024-12-03 06:29:21,210.99.114.165,27.16,1017.19,18.64,436.41,26602.86,-32.83
241539,SPXEGN1TGSB2IKT9 | 1733175588,SPXEGN1TGSB2IKT9,2024-12-03 06:39:48,210.99.114.165,26.98,1017.38,18.68,444.55,27672.26,-34.49
241591,SPXEGN1TGSB2IKT9 | 1733176171,SPXEGN1TGSB2IKT9,2024-12-03 06:49:31,210.99.114.165,26.86,1017.44,18.93,447.84,28109.43,-34.99
241647,SPXEGN1TGSB2IKT9 | 1733176784,SPXEGN1TGSB2IKT9,2024-12-03 06:59:44,210.99.114.165,26.76,1017.61,18.99,455.80,29183.31,-36.40
241705,SPXEGN1TGSB2IKT9 | 1733177397,SPXEGN1TGSB2IKT9,2024-12-03 07:09:57,210.99.114.165,26.75,1017.65,18.84,456.11,29225.81,-36.65
241758,SPXEGN1TGSB2IKT9 | 1733177997,SPXEGN1TGSB2IKT9,2024-12-03 07:19:57,210.99.114.165,26.74,1017.80,18.85,462.11,30050.14,-37.98
241808,SPXEGN1TGSB2IKT9 | 1733178564,SPXEGN1TGSB2IKT9,2024-12-03 07:29:24,210.99.114.165,26.74,1018.02,19.03,463.08,30183.42,-39.80
241866,SPXEGN1TGSB2IKT9 | 1733179182,SPXEGN1TGSB2IKT9,2024-12-03 07:39:42,210.99.114.165,26.72,1018.18,19.03,457.05,29353.82,-41.05
241920,SPXEGN1TGSB2IKT9 | 1733179794,SPXEGN1TGSB2IKT9,2024-12-03 07:49:54,210.99.114.165,26.76,1018.18,19.07,453.63,28888.36,-41.05
